# AliMeeting Candidate Segments
# Total: 14 candidates, 0 ideal

1. 523.80-535.90s (12.10s) Speakers: ['N_SPK8013', 'N_SPK8014', 'N_SPK8015', 'N_SPK8016']
2. 719.00-732.60s (13.60s) Speakers: ['N_SPK8013', 'N_SPK8014', 'N_SPK8015', 'N_SPK8016']
3. 1222.60-1233.00s (10.40s) Speakers: ['N_SPK8013', 'N_SPK8014', 'N_SPK8015', 'N_SPK8016']
4. 104.60-114.70s (10.10s) Speakers: ['N_SPK8050', 'N_SPK8054', 'N_SPK8055', 'N_SPK8056']
5. 386.00-397.50s (11.50s) Speakers: ['N_SPK8050', 'N_SPK8054', 'N_SPK8055', 'N_SPK8056']
6. 421.30-434.40s (13.10s) Speakers: ['N_SPK8050', 'N_SPK8054', 'N_SPK8055', 'N_SPK8056']
7. 502.50-514.70s (12.20s) Speakers: ['N_SPK8050', 'N_SPK8054', 'N_SPK8055', 'N_SPK8056']
8. 595.00-605.30s (10.30s) Speakers: ['N_SPK8050', 'N_SPK8054', 'N_SPK8055', 'N_SPK8056']
9. 653.90-667.90s (14.00s) Speakers: ['N_SPK8050', 'N_SPK8054', 'N_SPK8055', 'N_SPK8056']
10. 902.10-913.10s (11.00s) Speakers: ['N_SPK8050', 'N_SPK8054', 'N_SPK8055', 'N_SPK8056']
11. 991.70-1002.50s (10.80s) Speakers: ['N_SPK8050', 'N_SPK8054', 'N_SPK8055', 'N_SPK8056']
12. 1317.20-1331.20s (14.00s) Speakers: ['N_SPK8050', 'N_SPK8054', 'N_SPK8055', 'N_SPK8056']
13. 1552.10-1565.70s (13.60s) Speakers: ['N_SPK8050', 'N_SPK8054', 'N_SPK8055', 'N_SPK8056']
14. 1608.10-1619.70s (11.60s) Speakers: ['N_SPK8050', 'N_SPK8054', 'N_SPK8055', 'N_SPK8056']
